country,asn,prefix,file,batch,as_name
GR,6799,2a02:580::/29,/home/ipv6/periphery/result/RIPE/GR/OTE_1/uniq_ips.txt,1000,Ote SA (Hellenic Telecommunications Organisation)
GR,1241,2a02:2148::/29,/home/ipv6/periphery/result/RIPE/GR/Nova_2/uniq_ips.txt,1000,Nova Telecommunications & Media Single Member S.A
BE,5432,2a02:a000::/26,/home/ipv6/periphery/result/RIPE/BE/Prox/uniq_ips.txt,1000,Proximus NV
BE,12392,2a02:2788::/32,/home/ipv6/periphery/result/RIPE/BE/VOO/uniq_ips.txt,1000,VOO S.A.
BE,6848,2a02:1800::/24,/home/ipv6/periphery/result/RIPE/BE/Tele_0/uniq_ips.txt,1000,Telenet BV
BE,6848,2a02:1800::/24,/home/ipv6/periphery/result/RIPE/BE/Tele_1/uniq_ips.txt,1000,Telenet BV
BE,6848,2a02:1800::/24,/home/ipv6/periphery/result/RIPE/BE/Tele_2/uniq_ips.txt,1000,Telenet BV
NL,60781,2001:1af8::/32,/home/ipv6/periphery/result/RIPE/NL/Leas/uniq_ips.txt,1000,LeaseWeb Netherlands B.V.
NL,31477,2a01:1b0::/32,/home/ipv6/periphery/result/RIPE/NL/Duo/uniq_ips.txt,1000,Duocast B.V.
FR,3215,2a01:cb1d::/32,/home/ipv6/periphery/result/RIPE/FR/Org_7/uniq_ips.txt,1000,Orange S.A.
FR,3215,2a01:cb11::/36,/home/ipv6/periphery/result/RIPE/FR/Org_3/uniq_ips.txt,1000,Orange S.A.
FR,3215,2a01:cb15::/32,/home/ipv6/periphery/result/RIPE/FR/Org_1/uniq_ips.txt,1000,Orange S.A.
FR,3215,2a01:cb1c::/30,/home/ipv6/periphery/result/RIPE/FR/Org_6/uniq_ips.txt,1000,Orange S.A.
FR,3215,2a01:cb14::/30,/home/ipv6/periphery/result/RIPE/FR/Org_0/uniq_ips.txt,1000,Orange S.A.
FR,3215,2a01:cb10::/30,/home/ipv6/periphery/result/RIPE/FR/Org_2/uniq_ips.txt,1000,Orange S.A.
FR,3215,2a01:cb20::/32,/home/ipv6/periphery/result/RIPE/FR/Org_8/uniq_ips.txt,1000,Orange S.A.
FR,3215,2a01:cb19::/32,/home/ipv6/periphery/result/RIPE/FR/Org_5/uniq_ips.txt,1000,Orange S.A.
FR,3215,2a01:cb18::/30,/home/ipv6/periphery/result/RIPE/FR/Org_4/uniq_ips.txt,1000,Orange S.A.
FR,3215,2a01:cb22::/36,/home/ipv6/periphery/result/RIPE/FR/Org_9/uniq_ips.txt,1000,Orange S.A.
EE,2586,2001:1530::/32,/home/ipv6/periphery/result/RIPE/EE/Eli/uniq_ips.txt,1000,Elisa Eesti AS
EE,3249,2001:7d0::/32,/home/ipv6/periphery/result/RIPE/EE/Tel/uniq_ips.txt,1000,Telia Eesti AS
SK,6855,2a00:12a8::/29,/home/ipv6/periphery/result/RIPE/SK/Slov/uniq_ips.txt,1000,"Slovak Telekom, a.s."
AL,35047,2a01:4f00::/32,/home/ipv6/periphery/result/RIPE/AL/Abs/uniq_ips.txt,1000,Abissnet sh.a.
RO,8953,2a02:a58::/32,/home/ipv6/periphery/result/RIPE/RO/Oran/uniq_ips.txt,1000,Orange Romania S.A.
RO,8708,2a02:2f00::/28,/home/ipv6/periphery/result/RIPE/RO/Digi/uniq_ips.txt,1000,DIGI ROMANIA S.A.
UK,56478,2a01:4b00::/32,/home/ipv6/periphery/result/RIPE/UK/Hype/uniq_ips.txt,1000,Hyperoptic Ltd
